Iterations, Restarts, Time, Found,,,,,,
5,0,0.020268440246582, True,,,,,,
6,0,0.082468748092651, True,,,,,,
8,0,0.098630666732788, True,,Total Found,Total Not Found,Average Run Time,Min Run Time,Max Run Time
5,0,0.057198524475098, True,,45,55,158.911065275669,0.020268440246582,214.432164669037
5,0,0.097266912460327, True,,,,,,
10,0,0.24219536781311, True,,,,,,
9,1,26.0078179836273, True,,,,,,
7,1,26.5034334659576, True,,,,,,
3,1,27.5920948982239, True,,,,,,
6,1,27.830474615097, True,,,,,,
7,1,28.4158792495728, True,,,,,,
5,1,28.7583866119385, True,,,,,,
6,1,29.3406989574432, True,,,,,,
8,2,50.1746985912323, True,,,,,,
7,2,51.030788898468, True,,,,,,
9,2,52.0024991035461, True,,,,,,
7,2,52.253794670105, True,,,,,,
7,2,52.8594992160797, True,,,,,,
7,2,53.9776756763458, True,,,,,,
5,2,56.9963426589966, True,,,,,,
7,4,95.9745526313782, True,,,,,,
5,4,96.1082348823547, True,,,,,,
6,4,97.1827666759491, True,,,,,,
11,4,101.921392440796, True,,,,,,
7,4,102.564502954483, True,,,,,,
7,4,102.765928268433, True,,,,,,
5,5,120.317821025848, True,,,,,,
7,5,122.450662136078, True,,,,,,
7,6,139.301070213318, True,,,,,,
8,6,140.662963867188, True,,,,,,
8,6,146.311603069305, True,,,,,,
8,7,158.961594820023, True,,,,,,
4,7,159.825363636017, True,,,,,,
9,7,160.503051757813, True,,,,,,
8,7,160.866609573364, True,,,,,,
4,7,161.284982681274, True,,,,,,
7,7,162.313508749008, True,,,,,,
6,7,163.076534748077, True,,,,,,
9,7,165.210546255112, True,,,,,,
6,8,181.797721862793, True,,,,,,
6,8,182.1378698349, True,,,,,,
5,8,183.532199859619, True,,,,,,
5,9,194.909088611603, True,,,,,,
6,9,197.133568763733, True,,,,,,
3,9,197.51447725296, True,,,,,,
1000,10,206.869097232819, False,,,,,,
1000,10,207.654744148254, False,,,,,,
1000,10,208.95659327507, False,,,,,,
1000,10,209.000763654709, False,,,,,,
1000,10,209.128540277481, False,,,,,,
1000,10,209.17702794075, False,,,,,,
1000,10,209.521639347076, False,,,,,,
1000,10,209.468698740005, False,,,,,,
1000,10,209.777018308639, False,,,,,,
1000,10,209.914496660233, False,,,,,,
1000,10,210.310122489929, False,,,,,,
1000,10,210.443426847458, False,,,,,,
1000,10,210.377248764038, False,,,,,,
1000,10,210.82210111618, False,,,,,,
1000,10,210.887919425964, False,,,,,,
1000,10,210.635289907455, False,,,,,,
1000,10,210.654939889908, False,,,,,,
1000,10,211.066807985306, False,,,,,,
1000,10,211.072842597961, False,,,,,,
1000,10,210.609860181808, False,,,,,,
1000,10,210.75394320488, False,,,,,,
1000,10,211.274281740189, False,,,,,,
1000,10,210.917201280594, False,,,,,,
1000,10,211.59907579422, False,,,,,,
1000,10,211.759245872498, False,,,,,,
1000,10,211.566946983337, False,,,,,,
1000,10,211.459364414215, False,,,,,,
1000,10,211.927690982819, False,,,,,,
1000,10,211.988605737686, False,,,,,,
1000,10,212.087121486664, False,,,,,,
1000,10,211.888085842133, False,,,,,,
1000,10,212.136832952499, False,,,,,,
1000,10,212.19224357605, False,,,,,,
1000,10,212.188201665878, False,,,,,,
1000,10,212.497281551361, False,,,,,,
1000,10,212.481580018997, False,,,,,,
1000,10,212.563234329224, False,,,,,,
1000,10,212.303090333939, False,,,,,,
1000,10,212.39102935791, False,,,,,,
1000,10,212.353183269501, False,,,,,,
1000,10,212.651759386063, False,,,,,,
1000,10,212.793585777283, False,,,,,,
1000,10,212.864222288132, False,,,,,,
1000,10,213.073304176331, False,,,,,,
1000,10,213.037170410156, False,,,,,,
1000,10,213.10719704628, False,,,,,,
1000,10,213.23935842514, False,,,,,,
1000,10,213.029898881912, False,,,,,,
1000,10,213.10359120369, False,,,,,,
1000,10,212.870721340179, False,,,,,,
1000,10,213.195374011993, False,,,,,,
1000,10,213.323240756989, False,,,,,,
1000,10,213.429131984711, False,,,,,,
1000,10,213.307658195496, False,,,,,,
1000,10,214.432164669037, False,,,,,,
